,tweet
1823,"RT @kimacquaviva: I wish @maddow were moderating this debate.
"
1836,"@BuckSexton @sbwaverider softball reactions the best is coming by the last debate where it will be epic
"
1855,"RT @acacialotusart: live stream your debate comments here (please):
"
1881,"RT @TheBabylonBee: Trump Throws Biden Off His Game By Wearing Luscious Women's Wig To Debate https://t.co/aVMkHKWMjb
"
1902,".... honestly ....
"
1905,"RT @NaomiBiden: Why is the Trump family allowed to not wear masks in the debate hall while everyone else follows the rules?
"
1930,"RT @ira: Is @THEHermanCain live tweeting the debate
"
1941,"RT @sbg1: ""Will you shut up man? This is so unpresidential""
"
1957,"RT @_Snape_: Retweet if I should moderate the next debate.
"
1982,"@funder Lmao, what? You actually watching the debate??
"
1995,".@realDonaldTrump after the debate can you stream fortnite duos
"
2006,"RT @brianhenry63: Chris Wallace is losing this debate. 
"
2017,"Trump is a bottom feeder. He peddles in lies, fear and distractions. Disgusting. #debate
"
2036,"RT @JrWave19: Nigga how you tweeting during a debate?
"
2048,"RT @honzogonzo: at least 95% of americans would prefer this style of debate https://t.co/gg4ub42R1t
"
2067,"man... this presidential debate...
"
2084,"RT @_brna_s: wonder what deschenes is thinking about this debate
"
2112,"RT @lovable_ish: Bernie Sanders trending during this debate should tell you something #Debates2020 https://t.co/5tz9wYIhCn
"
2131,"RT @Mikel_Jollett: It would be nice if this debate had a moderator.
"
2158,"RT @aparnapkin: This debate is unfortunately between a steamroller with no operator &amp; a Roomba that got stuck in a corner
"
2183,"RT @amberasalyy: this debate feels like an SNL skit
"
2194,"@morethanmySLE This debate is ridiculous.  Trump is such an idiot and liar.  He has no manners.
"
2214,"This debate feels like the tell-all episode of a reality tv show you gotta love the #Debates2020
"
2243,"Debate Twitter &gt; actually watching the debate.
"
2253,"Facts.
"
2255,"I keep going back and forth to the debate. Joe basically said the same thing each time.
"
2274,"RT @JamesDash: This debate is stripping me of my sanity at an alarming rate
"
2290,"RT @saysahr: This debate is going to lead me to heavy adderall and alcohol abuse.
"
2308,"When @JoeBiden talks directly into the camera... i want to call him paw paw and it makes me feel safe and I like it #Debates2020 #Debate
"
2356,"RT @DailyTrix: Chris Wallace is controlling this debate nearly as well as Trump is controlling the pandemic.
"
2376,"RT @sgarretteskin: this is more like a real housewives reunion than a debate lol
"
2392,"RT @Pamaj: idk how ya'll are handling this debate but this feels like SnL
"
2409,"RT @aparnapkin: DEBATE DRINKING GAME: Drink every time all the time
"
2423,"Chris Wallace does not know how to ""manage"" a debate. Never again. Horrible. @FoxNewsSunday
"
2443,"trump and biden when Jeb! gets on stage and owns them both in the debate #debates https://t.co/uCLO0MlhbR
"
2464,"RT @TheBabylonBee: Cutting Out The Middleman: Dems Will Just Have Trump Debate Biden's Teleprompter Directly https://t.co/x4QbTXDZdy
"
2486,"RT @MaryLTrump: Apparently racism is totally cool at this debate.
"
2499,"RT @BBW_BFF: watching this debate https://t.co/5Qk68h8lRn
"
2509,"RT @kiandre_23: The debate right now https://t.co/1yOoRlwdEq
"
2520,"@CRNC An ice cream company based in Ohio. You know, where the debate is. Get it?
"
2541,"RT @peterdaou: Is this really the best America can do in 2020?????
"
2560,"THIS MF FR TWEETING DURING THE FUCKING DEBATE
"
2568,"Christine will Not enter the room while the debate is on which is both annoying and also pretty fair
"
2587,"RT @lorieliebig: this debate has big Jerry Springer vibes
"
2598,"Debate update the President just said he brought back Big Ten Football himself. This is America one of his biggest achievements
"
2620,"RT @glassbottommeg: Instead of the debate I'm just gonna watch Queso WOO for 45 minutes. https://t.co/0Y8sBCc9iV
"
2643,"This debate is making me want to slap myself
"
2652,"RT @DKThomp: This isn't a debate. It's a DDOS attack happening in front of a human moderator.
"
2699,"I want to punch trump every fucken second of this debate
"
2759,"RT @JacksonRickun: This debate is what you see when you actually inject bleach into your veins
"
2777,"@megan1mitchell this debate is terrible.  Donald acts like a spoiled child.  joe is too passive.  joe needs to get into his face
"
2816,"Sitting with my kindergarten teacher wife who said the same thing.
"
2844,"This debate is a colossal waste of time.
"
2880,"RT @ChristianWalk1r: The tax return drop was just for the debate
"
2893,"@SkrilJay He is the worst thing about this debate.
"
2950,"How do you even debate this?
"
2957,"me and a v pretty girl are watching the debate and talking ab it together ah yes i love pretty girls
"
2978,"LS will be moderating the next debate.
"
2986,"not watching the debate is my form of self-care for tonight
"
2997,"I agree, Steve.  What the heck, #ChrisWallace?
"
3009,"Me NOW watching the debate... https://t.co/uNN0C0UyEJ
"
3018,"RT @MidwinCharles: Chris Wallace should never be let anywhere near a debate again.
"
3034,"RT @SheaSerrano: here is my official statement tonight regarding tonight's presidential debate https://t.co/ty6dBJh5kl
"
3074,"This debate is insane #Debates2020
"
3080,"I hope this debate moderator snaps back.. you can tell he getting annoyed by being bullied
"
3140,"okay i'm finished with this debate lemme look at pictures of shownu now
"
3155,"in case anyone not watching is wondering how the debate is going https://t.co/T4nYo3N1vV
"
3170,"this debate is so fucking funny lol bye
"
3178,"RT @tomwatson: Honestly, ""Will you shut up, man?"" is going down in presidential debate history along with with Nixon's beard. Iconic.
"
3209,"RT @janemarielynch: I thought this debate was going to have a moderator
"
3223,"So far the only one winning this debate is Chris Wallace. Kudo's to him.
"
3240,"Be sure to follow @NPR for fast fact checking of statements by both candidates.
"
3256,"watching the debate all I can say is ..... this country is so screwed.
"
3316,"These two people basically stand for the same. What is there to debate about?
"
3378,"i can hear the debate in the other room... just gotta take 3 tests... rq... then i can watch it...
"
3425,"RT @TAINA525: This debate is another illustration of who this pendejo is! https://t.co/6UWjUirORZ
"
3443,"What time is this debate over!?!?
"
3516,"I know 16 girls from my high school that would make Trump and Biden cry in a debate
"
3534,"RT @UFWupdates: This is no joke.
"
3543,"who had Trump claiming smart people commit tax fraud on their debate bingo
"
3556,"RT @FaithGoldy: THIS IS EXACTLY WHY THE BIDEN CAMP DIDNT WANT A DEBATE
"
3609,"This debate is fucking sham. Like Chris Wallace is an awful moderator.
"
3641,"If people actually WATCH this whole debate they will see how stupid this man trump is, and narcissistic he is, ITS FUCKING SHOCKING
"
3679,"Has a debate ever been declared a state of emergency?
"
3690,"RT @RealLyndaCarter: Trump would like to speak to the manager of this debate. #Karen #Debates2020
"
3732,"RT @SayyTheName_: This debate https://t.co/IttOd2b7zC
"
3759,"This debate so far... https://t.co/eSjpsQK6hp
"
3789,"A dat.. the red necks are falling in love all over again
"
3802,"Every other country watching Trump and Biden debate https://t.co/3VniMoYOva
"
3813,"RT @GFJacobs: ""I was a private business people""
"
3840,"Nigga how r u tweeting rn ur in the debate?
"
3876,"@JoeBiden How are you tweeting during the debate Joe?
"
3887,"@HiddenLotvs He basically opened the debate with it.
"
3897,"RT @noitskatelyn: sir... um... sir... you are supposed to debate the candidate not the moderator
"
3917,"Joe Biden winning Donald Trump in the first Presidential debate 2020 USA Election
"
3952,"This debate is like a love and hip hop reunion show! #mutetrump
"
3966,"this debate is pitiful
"
3970,"Show us your taxes! #debate #Debates2020 #TrumpTaxReturns #PresidentialDebate2020 #TrumpTaxes
"
3985,"RT @JustinTinsley: Jenifer Lewis gotta moderate the second debate.
"
4013,"Guys, how do I get my name on the debate moderators list?
"
4027,"what happened to joe rogan hosting the debate? this guy has no spine
"
4041,"This debate is like watching a real life version of a Twitter thread. Pure chaos and gets off the rails immediately. I love it.
"
4068,"RT @HannahDrake628: A Black woman could have moderated the hell out of this debate. All that over talking. Nope. https://t.co/7D1fslyJgY
"
4095,"chris evans watching the debate https://t.co/9sNJaAIMlZ
"
4103,"RT @jsolomonReports: Watch Joe Curl, former Drudge Report editor, live-blog the debate on Just the News. https://t.co/vGE4JANPZP
"
4127,"RT @2dJazz: Let me moderate the debate. Chris wallace a bitch lmao
"
4142,"This debate is like an episode of the office
"
4151,"RT @MollyJongFast: You know, Trump could have used some debate prep.
"
4166,"Trump must think this is a debate against the moderator 
"
4176,"RT @deeallalong: This President vs. Moderator debate is AWFUL
"
4187,"RT @RickStrom: Trump at the debate. https://t.co/ldTb4M7i35
"
4199,"RT @EdwardTHardy: What debate are you watching? Joe Biden is laughing at Donald Trump
"
4216,"RT @PeterSweden7: Who do you feel is winning the debate so far?
"
4231,"RT @mcspocky: tRump can't follow debate rules,
"
4242,"came out of the shower with all my friends texting me in a frenzy about the debate....
"
4260,"I feel bad for the guy asking the question in the debate
"
4272,"Imagine watching this debate without alcohol to get you through it?
"
4284,"RT @LeonaLioness6: I don't think I've ever witnessed a debate like this in my 32 years of life.
"
4346,"@PattyArquette preach sorry the debate is covering half my page
"
4357,"Yeah because your ""candidate"" is getting bodied right now.
"
4369,"Watching the perverts debate tonight
"
4396,"RT @GravelInstitute: First debate where one candidate told another to shut up. This rocks.
"
4414,"man I feel sorry for students who are forced to watch the debate for homework
"
4451,"RT @Janay_1021: @TonyPerkinsFMTV Perfectly said. This is a debate fitting of the year 2020.
"
4470,"RT @cvaldary: Every tweet right now confirms I made the right decision in not watching the debate.
"
4490,"Omfg.... #Trump is a fucking loser.
"
4499,"@pleizar I hadn't seen the debate yet.
"
4509,"Biden staring at Trump kinda slack-jawed
"
4515,"RT @JohnKerry: You'll have to inspect a lot lower than the ears to find where the president will be pulling his answers out of tonight.
"
4544,"RT @FO_ASchatz: The second presidential debate goes up against Patrick Mahomes vs. Josh Allen and I think I will Iike that better.
"
4569,"tl live tweeting the debate is making me think of this https://t.co/oDroAcmVYZ
"
4583,"Did thiiiiiis mfgga just say ""I brought back football"" to earn cool points in a fuggin...PRESIDENTIAL DEBATE!?
"
4606,"RT @SamSeaborn: Chris Wallace needs to control this debate. Stop Trump talking. #Debates2020
"
4624,"@SMOLYOONGiiiiii the presidential debate
"
4640,"@ABC Trump is an outright idiot! Trying to run the debate!All kudos to the moderator!
"
4660,"RT @immolations: the trump biden debate: https://t.co/agXhQ7YyPf
"
4694,"RT @ohheyitsgrey: this debate is a fucking joke and its only ten minutes in
"
4710,"its scary to me that the most well spoken person in the presidential debate was the moderator
"
4727,"RT @kcsguys: #Debates2020
"
4733,"RT @GravelInstitute: Chris Wallace has got to be one of the worst debate moderators of all time.
"
4781,"RT @JenniferJJacobs: Hours before the debate, a Trump camp email goes out: ""I just finished debating Joe Biden."" https://t.co/4OHQLmLDv9
"
4809,"This debate should have been a Zoom
"
4816,"RT @kaitelouwhoo: when both Joe and Trump speak at the same time the debate takes a screen shot
"
4836,"RT @TheDailyShow: Adorable! Moderator makes list of topics for debate as if Trump isn't going to rant about how dishwashers cause smallpox
"
4862,"RT @greenfield64: I think --IF there's a next debate--the moderator has to be able to cut off the mic of whoever is interrupting.
"
4892,"RT @genszen: According to my timeline, this debate is going fabulously. https://t.co/B7rRLOn2w3
"
4923,"RT @KeepItFiveStar: This debate right now. #Debates2020 https://t.co/IYyGZ6Km23
"
4937,"THIS IS THE PRESIDENTIAL DEBATE YALL ARE WATCHING????
"
4949,"Why am I watching this debate
"
4955,"OMG Trump keeps arguing with the moderator. Shut the hell up and debate like an adult, you absolute baby.
"
4977,"Holy shit this debate is
"
4982,"why am i even watching the presidential debate
"
5024,"this presidential debate makes me want to k!ll myself
"
5035,"Me watching this debate: https://t.co/zZBgdtBGs3
"
5043,"@Cernovich Are you putting weed in that cigar? You're not watching the same debate.
"
5106,"RT @lgr734: This debate is a fucking joke.
"
5117,"I didn't want to watch the debate before and now that my timeline is just people saying they're going to kiss makes me glad I'm not
"
5146,"ALL OF YALL WATCHING THE DEBATE LMAO *#!%*
"
5158,"RT @itskendallfrfr: please watch the presidential debate, educate yourselves, register to vote, show up and show out at the polls period.
"
5185,"RT @Troydan: Lmfao this debate is hilarious
"
5194,"Watching the debate... date night is going well
"
5217,"My brain watching this debate: https://t.co/6o6v5A4EMm
"
5264,"RT @BeauxTieSwag: We need a tag team debate with Presidents and VPs. Kamala would eat.
"
5283,"Turned off the debate after 10 minutes, waiting to watch good people talking about D&amp;D to make me feel better.
"
5309,"This debate is juicier than any trash reality tv show
"
5367,"FOX 23 News starts after the debate on WHPM-TV. https://t.co/enmf1wIw78
"
5380,"RT @ogchaseb: Naw yo this debate is outta pocket
"
5419,"PRESIDENTIAL DEBATE: TRUMP RESPONDS TO ACCUSATION OF TAX EVASION BY PAYING MILLIONS OF DOLLARS IN TAXES IN 2016 AND 2017
"
5440,"RT @BWJ777: no respect due, he has a huge responsibility and is not even close to up to it
"
5489,"RT @WakeUpCanada1: #debate
"
5495,"How do you have a bias mediator for a debate
"
5505,"does karl have more viewers than the debate ??
"
5515,"Clearly @ChrisWallace101 has absolutely no control over this debate. This is sad in every way possible. #Debate2020
"
5536,"[presidential debate]
"
5540,"it's this debate for me
"
5546,"Chris Wallace is the Tim Peel of debate moderators
"
5555,"RT @kalenelson_: Trump pulled up for a Roast not a debate.
"
5569,"RT @drefanzor: Joe Biden before the debate
"
5578,"RT @dddianavar: ok so are we all drinking and watching the debate?
"
5593,"Dis presidential debate sum else lol
"
5599,"RT @drmistercody: Doing drugs before the debate in solidarity with the president and his opponent.
"
5617,"RT @itskeyon: how you fighting the person who's moderating the debate
"
5631,"RT @xoavaaaa: did anyone tell trump the debate was just against biden... not the mediator?
"
5650,"After this debate what series should we watch to relax: RoboCop or Jurassic Park? 
"
5666,"BREAKING NEWS: next debate they get shock collars #PresidentialDebate #2020debate #PresidentialDebate2020
"
5681,"not b1den actually demolishing trum* in the debate LMFAOO
"
5691,"Amen.
"
5693,"RT @ParkerKitHill: this debate is like putting my brain into a deep fryer omfg
"
5709,"RT @Alyssa_Milano: This debate is about good vs. evil. #Debates2020
"
5723,"Chris Wallace is absolutely a failure He can't enforce his own rules I feel like this should be last debate #PresidentialDebate2020
"
5746,"RT @taylorrlewiss2: there are not enough words to describe this debate. it is a mess
"
5764,"RT @swagonmywife: @Leafy the debate rn: https://t.co/TCRjNKcIdX
"
5777,"RT @KamVTV: Chris Wallace needs to quit cutting Trump off. He likes to debate Trump, not Joe Biden.
"
5800,"Since the beginning of this debate I still have no clue what Joe is talking about. #PresidentialDebate2020
"
5819,"RT @xsthsy: Whos winning This debate? 
"
5828,"RT @KGishFish: Tweeting jokes about the debate while democracy is on the verge of crumbling https://t.co/DgrxskQvM3
"
5864,"This debate is a joke. I can't believe I'm sitting here watching this.
"
5881,"Nigga live tweeting his own debate lmfaooo
"
5888,"RT @cmtswift: WHEN A MODERATOR HAS TO TELL TWO PRESIDENTAL CANDIDATES TO BE SERIOUS.....DURING A DEBATE...........
"
5909,"RT @lily1pdx: BRO THE PRESIDENTIAL DEBATE SOUNDING LIKE MY PARENTS THE DAY BEFORE THEY GOT DIVORCED
"
5927,"RT @tarastrong: Within the first five minutes. #RacistTrump https://t.co/iuvFH9eQno
"
5942,"RT @SavageBoston: This debate is embarrassing to the country. 
"
5954,"RT @baseballot: Trump calling the University of Delaware ""Delaware State"" is going to be an underrated moment of this debate
"
5978,"Well he said after the debate he was going to show the millions he pays in taxes #Debates2020
"
6044,"RT @MeidasTouch: Ready to play along with your debate bingo card? https://t.co/sj4EX8DMRE
"
6061,"RT @ginascarpa: Me tuning into the debate and exiting out of YouTube 10 seconds later https://t.co/9HwRsAIen5
"
6081,"My 9 yr old is busting out laughing on this debate...  seriously.
"
6095,"this debate is pure comedy
"
6113,"RT @WatchChad: Trump gets to debate Chris AND Joe.
"
6125,"im really sorry im tweeting like this... this debate that leads to the election is really important
"
6143,"RT @gabe_s355: The presidential debate: https://t.co/DJVamrf9Pm
"
6154,"Biden To Trump: ""Would You Shut Up, Man?""
"
6167,"if you can't deal with this debate, don't worry, @calebsaysthings got you
"
6184,"Live footage of me watching this debate (rooting for Joe out of necessity, but missing my #1) https://t.co/W9EtKYOlWB
"
6208,"i hate this planet
"
6232,"@RealJamesWoods Joe's Debate Eyes  Normal https://t.co/Jo7QIYsQv7
"
6242,"RT @BuzzFeed: Biden To Trump, ""Would You Shut Up, Man?"" https://t.co/JWinGDnICD
"
6262,"we rly in the twilight zone
"
6268,"Women in the Suburbs are really going to love this debate
"
6279,"This debate https://t.co/ceLn6OetKV
"
6284,"everyone live tweeting the debate this is a mess
"
6315,"How do I nominate myself to moderate the next debate?
"
6375,"These two old ass niggas boutta debate for two hours???
"
6403,"This debate gives me Stephen A and Kellerman vibes
"
6412,"#Biden speaks for #america
"
6418,"This guy would've CRUSHSED Trump in a debate. #Debates2020 https://t.co/YrSOgRjeff
"
6455,"@clevernugget I was thinking the same thing lol. I was really bouta click.. but this debate, man
"
6490,"What if DJ Vlad was the moderator for this debate??
"
6514,"RT @rymanbkool: Who had ""Big Ten football reference"" on their Presidential Debate bingo card?  #PresidentialDebate
"
6549,"RT @sreekyshooter: The debate is making it clear to me who should be our next president: the girl reading this :)
"
6604,"Anyone posting titty during the debate? Lmk.
"
6613,"Education as the expense of risking your life? haha u funnyyyy
"
6650,"this presidential debate is really like watching two high school students argue about drama
"
6664,"debate getting intense https://t.co/ui5axIVukW
"
6683,"This debate is a comedy show
"
6689,"Will Joe Biden wear an earpiece to CHEAT the US debate? Conspiracy theory sweeps web https://t.co/FOcbbYXwNd
"
6708,"Someone get Chris Wallace a spritz bottle to restore order to this debate.
"
6722,"ALREADY ON IT
"
6725,"I refuse to watch the debate but I'm glad to see you're all enjoying it as much as I expected.
"
6773,"RT @alessiam777: This debate https://t.co/3SQjfx5EXK
"
6816,"RT @JackMitchellLNK: NEBRASKA BROUGHT BACK BIG TEN FOOTBALL DEBATE OVER
"
6847,"@FoxNewsSunday Chris Wallace is an embarrassment to this debate!!!
"
6860,"RT @CaroleRadziwill: Eric Trump comes out as gay bi queer right before the debate. True or distraction?
"
6881,"This sound like a debate I had in 3rd grade about extending recess time smh
"
6896,"@MrTooDamnChris Reporters after the debate: ""I think Joe had a great performance""
"
6912,"RT @DrLupo: the meme harvest from this debate shall be plentiful
"
6925,"RT @HatefulEntoma: Trump took control of the debate over Wallace lmao
"
6938,"Joe only has laughs and desperate grips on the podium. Great debate prep during the lids.
"
6956,"Trump is killing this debate so no one remembers what was said, but instead, how much of a shit show it was.
"
6981,"RT @NerdyWonka: Chris Wallace should never be allowed to moderate another debate. 
"
7013,"RT @HughAcheson: Trump has decided to debate the moderator
"
7024,"The MVP of this debate and person who deserves a raise #Debate2020 #ChrisWallace #2020debate https://t.co/H4AUIu3cFG
"
7044,"The debate is on
"
7064,"Lying on a presidential debate should be perjury.
"
7073,"ok this ice cream looks delicious
"
7079,"This debate is hilarious
"
7094,"This debate is STUPID
"
7098,"Watching the debate and Trump is sweating and shows what a miserable person he is!
"
7114,"RT @laurenfano: Shout out to @ChrisChristie for his shit debate prep with his shit president
"
7132,"i dont think ive ever watched a presidential debate and im certainly not about to start in the year of our lord 2020
"
7192,"RT @donwinslow: Tragically @CNN has gone with Van Jones and Rick Santorum as their debate ""experts"" tonight.
"
7231,"this the trump vs biden debate https://t.co/4VihrqW1fO
"
7240,"Beer wasn't enough for this debate https://t.co/HqxWGeoemf
"
7250,"this debate is painful to watch..two grown men who are in the process of withering away acting like children on national tv i have no words
"
7278,"I literally cannot handle watching this debate.
"
7309,"HELP my tl was just the debate and then boom Shotaro thank u
"
7322,"How are what President Trump paid in taxes a debate question? Biased and an obvious attack! #Debates2020
"
7342,"RT @Breaking911: We have a Trump tweet during the debate...
"
7404,"#debate #Debates2020 #DebateTuesday. #Biden has been ineffective for 47 yrs. https://t.co/C1I7tp1ZaP
"
7423,"RT @Cernovich: Biden is winning the debate https://t.co/ZdCsGxlQPp
"
7435,"Why are we upholding the tradition of a debate at this point?
"
7463,"Biden is doing fine but Hilary did way better. #Debates2020 #debate #Debate2020 #HillaryClinton #HillaryClinton
"
7506,"@wonsangluvclub this debate is the saddest thing im seeing
"
7516,"RT @JENFL23: Bernie would be destroying Trump.
"
7526,"took a break from my beautiful kdrama to watch this debate hmmm
"
7538,"IF NONE OF THEM PASSES OUT ON STAGE DURING THIS DEBATE I WILL BE DISAPPOINTED
"
7553,"RT @realbrvcewayne: YO THIS DEBATE CANNOT BE REAL THE CREATORS OF THIS SIMULATION RLY DONE IT UP W THIS ONE LMFAOOO
"
7577,"RT @nothinbutlag: Trump &amp; Biden getting ready for the debate https://t.co/FXtKMWqVRy
"
7594,"They need a black mom to moderate this debate #Debates2020
"
